1,"[10, 5]",1000,True,1,"(900.0, 500.0, 75.0)","(0.0, 0.0)",0,735,0,2021-05-12T14:47:01
1,"[10, 5]",1000,True,2,"(700.0, 900.0, 75.0)","(0.0, 0.0)",0,862,0,2021-05-12T14:47:02
1,"[10, 5]",1000,True,3,"(700.0, 100.0, 75.0)","(0.0, 0.0)",0,849,0,2021-05-12T14:47:03
1,"[10, 5]",1000,True,4,"(900.0, 300.0, 75.0)","(0.0, 0.0)",0,792,0,2021-05-12T14:47:04
1,"[10, 5]",1000,True,5,"(700.0, 900.0, 75.0)","(0.0, 0.0)",0,781,0,2021-05-12T14:47:05
1,"[10, 5]",1000,True,6,"(500.0, 700.0, 75.0)","(0.0, 0.0)",0,962,0,2021-05-12T14:47:06
1,"[10, 5]",1000,True,7,"(100.0, 500.0, 75.0)","(0.0, 0.0)",0,1153,0,2021-05-12T14:47:07
1,"[10, 5]",1000,True,8,"(1900.0, 300.0, 75.0)","(0.0, 0.0)",0,954,0,2021-05-12T14:47:08
1,"[10, 5]",1000,True,9,"(1100.0, 700.0, 75.0)","(0.0, 0.0)",0,1066,0,2021-05-12T14:47:09
1,"[10, 5]",1000,True,10,"(900.0, 900.0, 75.0)","(0.0, 0.0)",0,992,0,2021-05-12T14:47:10
1,"[20, 10]",1000,True,1,"(1750.0, 849.5, 37.5)","(0.0, 0.0)",0,1124,0,2021-05-12T14:47:12
1,"[20, 10]",1000,True,2,"(750.0, 549.5, 37.5)","(0.0, 0.0)",0,1298,0,2021-05-12T14:47:13
1,"[20, 10]",1000,True,3,"(1449.5, 49.5, 37.5)","(0.0, 0.0)",0,1280,0,2021-05-12T14:47:14
1,"[20, 10]",1000,True,4,"(1250.0, 549.5, 37.5)","(0.0, 0.0)",0,1024,0,2021-05-12T14:47:15
1,"[20, 10]",1000,True,5,"(550.0, 849.5, 37.5)","(0.0, 0.0)",0,1154,0,2021-05-12T14:47:16
1,"[20, 10]",1000,True,6,"(1950.0, 349.5, 37.5)","(0.0, 0.0)",0,1165,0,2021-05-12T14:47:18
1,"[20, 10]",1000,True,7,"(650.0, 749.5, 37.5)","(0.0, 0.0)",0,1315,0,2021-05-12T14:47:19
1,"[20, 10]",1000,True,8,"(450.0, 349.5, 37.5)","(0.0, 0.0)",0,1016,0,2021-05-12T14:47:20
1,"[20, 10]",1000,True,9,"(1450.0, 449.5, 37.5)","(0.0, 0.0)",0,974,0,2021-05-12T14:47:21
1,"[20, 10]",1000,True,10,"(1550.0, 849.5, 37.5)","(0.0, 0.0)",0,1231,0,2021-05-12T14:47:22
1,"[8, 4]",1000,True,1,"(124.75, 124.75, 93.75)","(0.0, 0.0)",0,1044,0,2021-05-12T14:47:26
